 Monthly_Income , Total_outstanding_loans ,Defaulter
" $1,713.00 "," $381,470.00 ",YES
" $1,714.00 "," $494,507.00 ",YES
" $1,714.00 "," $309,394.00 ",YES
" $1,718.00 "," $491,158.00 ",YES
" $1,721.00 "," $171,054.00 ",NO
" $1,728.00 "," $207,071.00 ",NO
" $1,728.00 "," $239,375.00 ",NO
" $1,728.00 "," $139,140.00 ",NO
" $1,735.00 "," $64,186.00 ",NO
" $1,738.00 "," $415,288.00 ",YES
" $1,749.00 "," $461,133.00 ",YES
" $1,750.00 "," $414,897.00 ",YES
" $1,752.00 "," $364,250.00 ",YES
" $1,754.00 "," $128,689.00 ",NO
" $1,756.00 "," $194,049.00 ",NO
" $1,756.00 "," $387,925.00 ",YES
" $1,759.00 "," $431,720.00 ",YES
" $1,765.00 "," $38,730.00 ",NO
" $1,765.00 "," $108,791.00 ",NO
" $1,766.00 "," $365,966.00 ",YES
" $1,766.00 "," $377,556.00 ",YES
" $1,767.00 "," $439,808.00 ",YES
" $1,769.00 "," $179,180.00 ",NO
" $1,772.00 "," $335,681.00 ",YES
" $1,780.00 "," $427,085.00 ",YES
" $1,781.00 "," $244,477.00 ",NO
" $1,781.00 "," $380,370.00 ",YES
" $1,781.00 "," $250,638.00 ",NO
" $1,781.00 "," $354,194.00 ",YES
" $1,785.00 "," $449,400.00 ",YES
" $1,789.00 "," $112,829.00 ",NO
" $1,790.00 "," $435,321.00 ",YES
" $1,790.00 "," $181,491.00 ",NO
" $1,796.00 "," $387,928.00 ",YES
" $1,805.00 "," $324,923.00 ",YES
" $1,807.00 "," $349,130.00 ",YES
" $1,808.00 "," $443,210.00 ",YES
" $1,810.00 "," $498,053.00 ",YES
" $1,812.00 "," $175,680.00 ",NO
" $1,813.00 "," $82,622.00 ",NO
" $1,815.00 "," $150,089.00 ",NO
" $1,818.00 "," $411,974.00 ",YES
" $1,818.00 "," $13,660.00 ",NO
" $1,818.00 "," $178,449.00 ",NO
" $1,820.00 "," $79,361.00 ",NO
" $1,820.00 "," $452,934.00 ",YES
" $1,821.00 "," $302,380.00 ",YES
" $1,823.00 "," $484,966.00 ",YES
" $1,825.00 "," $266,610.00 ",YES
" $1,827.00 "," $200,579.00 ",NO
" $1,831.00 "," $22,436.00 ",NO
" $1,833.00 "," $344,752.00 ",YES
" $1,833.00 "," $193,050.00 ",NO
" $1,835.00 "," $202,411.00 ",NO
" $1,836.00 "," $468,265.00 ",YES
" $1,843.00 "," $445,009.00 ",YES
" $1,845.00 "," $318,933.00 ",YES
" $1,846.00 "," $254,278.00 ",NO
" $1,847.00 "," $128,353.00 ",NO
" $1,849.00 "," $217,254.00 ",NO
" $1,850.00 "," $401,494.00 ",YES
" $1,851.00 "," $140,381.00 ",NO
" $1,854.00 "," $158,659.00 ",NO
" $1,858.00 "," $142,986.00 ",NO
" $1,860.00 "," $134,410.00 ",NO
" $1,860.00 "," $442,242.00 ",YES
" $1,867.00 "," $303,575.00 ",YES
" $1,868.00 "," $133,696.00 ",NO
" $1,869.00 "," $229,582.00 ",NO
" $1,872.00 "," $279,212.00 ",YES
" $1,872.00 "," $158,456.00 ",NO
" $1,875.00 "," $143,322.00 ",NO
" $1,875.00 "," $360,542.00 ",YES
" $1,877.00 "," $324,644.00 ",YES
" $1,878.00 "," $117,846.00 ",NO
" $1,895.00 "," $231,147.00 ",NO
" $1,897.00 "," $108,275.00 ",NO
" $1,900.00 "," $419,450.00 ",YES
" $1,902.00 "," $96,781.00 ",NO
" $1,904.00 "," $57,256.00 ",NO
" $1,905.00 "," $143,742.00 ",NO
" $1,906.00 "," $423,909.00 ",YES
" $1,910.00 "," $377,835.00 ",YES
" $1,912.00 "," $370,603.00 ",YES
" $1,913.00 "," $426,973.00 ",YES
" $1,913.00 "," $357,532.00 ",YES
" $1,915.00 "," $389,229.00 ",YES
" $1,916.00 "," $419,098.00 ",YES
" $1,917.00 "," $271,652.00 ",YES
" $1,918.00 "," $384,045.00 ",YES
" $1,924.00 "," $221,245.00 ",NO
" $1,927.00 "," $271,169.00 ",YES
" $1,928.00 "," $429,538.00 ",YES
" $1,930.00 "," $375,657.00 ",YES
" $1,931.00 "," $375,392.00 ",YES
" $1,934.00 "," $11,231.00 ",NO
" $1,937.00 "," $435,015.00 ",YES
" $1,941.00 "," $467,869.00 ",YES
" $1,942.00 "," $344,232.00 ",YES
" $1,943.00 "," $14,458.00 ",NO
" $1,946.00 "," $66,275.00 ",NO
" $1,950.00 "," $437,826.00 ",YES
" $1,955.00 "," $293,535.00 ",YES
" $1,957.00 "," $63,192.00 ",NO
" $1,961.00 "," $213,500.00 ",NO
" $1,962.00 "," $25,454.00 ",NO
" $1,964.00 "," $407,952.00 ",YES
" $1,965.00 "," $166,631.00 ",NO
" $1,967.00 "," $87,979.00 ",NO
" $1,968.00 "," $16,710.00 ",NO
" $1,969.00 "," $290,478.00 ",YES
" $1,969.00 "," $165,945.00 ",NO
" $1,973.00 "," $383,602.00 ",YES
" $1,976.00 "," $483,040.00 ",YES
" $1,981.00 "," $45,350.00 ",NO
" $1,983.00 "," $31,357.00 ",NO
" $1,986.00 "," $158,430.00 ",NO
" $1,986.00 "," $391,549.00 ",YES
" $1,987.00 "," $428,826.00 ",YES
" $1,990.00 "," $160,827.00 ",NO
" $1,990.00 "," $347,116.00 ",YES
" $1,996.00 "," $479,141.00 ",YES
" $1,998.00 "," $40,579.00 ",NO
" $1,998.00 "," $333,849.00 ",YES
" $1,998.00 "," $321,886.00 ",YES
" $1,999.00 "," $335,142.00 ",YES
" $2,002.00 "," $63,746.00 ",NO
" $2,004.00 "," $277,448.00 ",YES
" $2,008.00 "," $466,749.00 ",YES
" $2,010.00 "," $324,492.00 ",YES
" $2,010.00 "," $149,407.00 ",NO
" $2,011.00 "," $52,745.00 ",NO
" $2,015.00 "," $301,731.00 ",YES
" $2,015.00 "," $93,409.00 ",NO
" $2,021.00 "," $204,693.00 ",NO
" $2,023.00 "," $329,647.00 ",YES
" $2,030.00 "," $21,218.00 ",NO
" $2,031.00 "," $148,548.00 ",NO
" $2,033.00 "," $429,498.00 ",YES
" $2,043.00 "," $66,096.00 ",NO
" $2,050.00 "," $97,120.00 ",NO
" $2,051.00 "," $205,971.00 ",NO
" $2,052.00 "," $285,818.00 ",YES
" $2,054.00 "," $393,882.00 ",YES
" $2,056.00 "," $425,874.00 ",YES
" $2,058.00 "," $350,961.00 ",YES
" $2,058.00 "," $92,484.00 ",NO
" $2,059.00 "," $204,822.00 ",NO
" $2,059.00 "," $111,432.00 ",NO
" $2,067.00 "," $246,640.00 ",NO
" $2,075.00 "," $477,501.00 ",YES
" $2,079.00 "," $470,454.00 ",YES
" $2,081.00 "," $305,495.00 ",YES
" $2,083.00 "," $161,791.00 ",NO
" $2,083.00 "," $439,301.00 ",YES
" $2,085.00 "," $141,991.00 ",NO
" $2,098.00 "," $167,811.00 ",NO
" $2,099.00 "," $279,445.00 ",YES
" $2,100.00 "," $284,769.00 ",YES
" $2,100.00 "," $42,063.00 ",NO
" $2,102.00 "," $163,923.00 ",NO
" $2,102.00 "," $207,328.00 ",NO
" $2,105.00 "," $114,571.00 ",NO
" $2,107.00 "," $487,687.00 ",YES
" $2,107.00 "," $223,905.00 ",NO
" $2,110.00 "," $65,582.00 ",NO
" $2,117.00 "," $499,465.00 ",YES
" $2,119.00 "," $192,421.00 ",NO
" $2,119.00 "," $103,455.00 ",NO
" $2,121.00 "," $449,925.00 ",YES
" $2,121.00 "," $364,191.00 ",YES
" $2,122.00 "," $368,651.00 ",YES
" $2,122.00 "," $484,676.00 ",YES
" $2,122.00 "," $334,834.00 ",YES
" $2,124.00 "," $422,258.00 ",YES
" $2,128.00 "," $259,731.00 ",YES
" $2,131.00 "," $307,341.00 ",YES
" $2,132.00 "," $122,274.00 ",NO
" $2,134.00 "," $460,582.00 ",YES
" $2,140.00 "," $187,577.00 ",NO
" $2,143.00 "," $475,545.00 ",YES
" $2,148.00 "," $488,841.00 ",YES
" $2,150.00 "," $295,345.00 ",YES
" $2,152.00 "," $295,890.00 ",YES
" $2,154.00 "," $82,859.00 ",NO
" $2,155.00 "," $454,436.00 ",YES
" $2,160.00 "," $20,035.00 ",NO
" $2,160.00 "," $42,640.00 ",NO
" $2,161.00 "," $158,652.00 ",NO
" $2,164.00 "," $377,192.00 ",YES
" $2,164.00 "," $490,594.00 ",YES
" $2,176.00 "," $276,657.00 ",YES
" $2,180.00 "," $57,718.00 ",NO
" $2,180.00 "," $136,334.00 ",NO
" $2,182.00 "," $209,338.00 ",NO
" $2,182.00 "," $286,167.00 ",YES
" $2,191.00 "," $302,619.00 ",YES
" $2,191.00 "," $10,424.00 ",NO
" $2,196.00 "," $232,282.00 ",NO
" $2,197.00 "," $269,296.00 ",YES
" $2,198.00 "," $103,378.00 ",NO
" $2,198.00 "," $136,183.00 ",NO
" $2,203.00 "," $120,301.00 ",NO
" $2,203.00 "," $172,202.00 ",NO
" $2,203.00 "," $246,895.00 ",NO
" $2,205.00 "," $317,899.00 ",YES
" $2,206.00 "," $470,034.00 ",YES
" $2,207.00 "," $21,909.00 ",NO
" $2,207.00 "," $125,295.00 ",NO
" $2,208.00 "," $357,651.00 ",YES
" $2,211.00 "," $76,847.00 ",NO
" $2,218.00 "," $79,043.00 ",NO
" $2,220.00 "," $486,873.00 ",YES
" $2,221.00 "," $219,384.00 ",NO
" $2,225.00 "," $331,683.00 ",YES
" $2,231.00 "," $311,697.00 ",YES
" $2,234.00 "," $415,779.00 ",YES
" $2,242.00 "," $174,044.00 ",NO
" $2,244.00 "," $443,439.00 ",YES
" $2,245.00 "," $165,025.00 ",NO
" $2,249.00 "," $242,015.00 ",NO
" $2,252.00 "," $295,893.00 ",YES
" $2,257.00 "," $467,390.00 ",YES
" $2,266.00 "," $274,532.00 ",YES
" $2,267.00 "," $298,614.00 ",YES
" $2,272.00 "," $404,852.00 ",YES
" $2,274.00 "," $285,518.00 ",YES
" $2,283.00 "," $77,376.00 ",NO
" $2,284.00 "," $93,262.00 ",NO
" $2,286.00 "," $482,703.00 ",YES
" $2,286.00 "," $309,657.00 ",YES
" $2,287.00 "," $434,526.00 ",YES
" $2,290.00 "," $222,281.00 ",NO
" $2,292.00 "," $37,798.00 ",NO
" $2,292.00 "," $337,372.00 ",YES
" $2,309.00 "," $487,194.00 ",YES
" $2,314.00 "," $260,208.00 ",YES
" $2,316.00 "," $93,781.00 ",NO
" $2,321.00 "," $73,149.00 ",NO
" $2,322.00 "," $36,378.00 ",NO
" $2,322.00 "," $191,548.00 ",NO
" $2,322.00 "," $10,968.00 ",NO
" $2,331.00 "," $298,448.00 ",YES
" $2,332.00 "," $411,509.00 ",YES
" $2,334.00 "," $234,034.00 ",NO
" $2,335.00 "," $171,779.00 ",NO
" $2,339.00 "," $189,020.00 ",NO
" $2,341.00 "," $13,116.00 ",NO
" $2,344.00 "," $238,758.00 ",NO
" $2,348.00 "," $484,315.00 ",YES
" $2,350.00 "," $424,105.00 ",YES
" $2,354.00 "," $105,390.00 ",NO
" $2,360.00 "," $92,162.00 ",NO
" $2,361.00 "," $239,820.00 ",NO
" $2,372.00 "," $198,549.00 ",NO
" $2,374.00 "," $218,628.00 ",NO
" $2,374.00 "," $325,819.00 ",YES
" $2,378.00 "," $221,278.00 ",NO
" $2,383.00 "," $293,963.00 ",YES
" $2,388.00 "," $451,790.00 ",YES
" $2,392.00 "," $21,070.00 ",NO
" $2,397.00 "," $367,322.00 ",YES
" $2,399.00 "," $162,949.00 ",NO
" $2,399.00 "," $255,561.00 ",YES
" $2,403.00 "," $72,253.00 ",NO
" $2,405.00 "," $344,779.00 ",YES
" $2,407.00 "," $473,969.00 ",YES
" $2,408.00 "," $326,971.00 ",YES
" $2,410.00 "," $14,114.00 ",NO
" $2,414.00 "," $141,265.00 ",NO
" $2,417.00 "," $185,914.00 ",NO
" $2,419.00 "," $171,196.00 ",NO
" $2,420.00 "," $185,751.00 ",NO
" $2,429.00 "," $257,208.00 ",YES
" $2,429.00 "," $31,507.00 ",NO
" $2,435.00 "," $391,639.00 ",YES
" $2,438.00 "," $464,974.00 ",YES
" $2,439.00 "," $337,009.00 ",YES
" $2,441.00 "," $267,501.00 ",YES
" $2,443.00 "," $99,405.00 ",NO
" $2,446.00 "," $244,723.00 ",NO
" $2,447.00 "," $119,575.00 ",NO
" $2,448.00 "," $456,939.00 ",YES
" $2,453.00 "," $127,974.00 ",NO
" $2,454.00 "," $247,141.00 ",NO
" $2,455.00 "," $251,831.00 ",NO
" $2,459.00 "," $214,183.00 ",NO
" $2,467.00 "," $368,718.00 ",YES
" $2,470.00 "," $83,222.00 ",NO
" $2,472.00 "," $406,257.00 ",YES
" $2,475.00 "," $419,595.00 ",YES
" $2,475.00 "," $130,943.00 ",NO
" $2,478.00 "," $398,886.00 ",YES
" $2,481.00 "," $390,491.00 ",YES
" $2,482.00 "," $224,243.00 ",NO
" $2,482.00 "," $122,805.00 ",NO
" $2,498.00 "," $301,587.00 ",YES
" $2,499.00 "," $427,617.00 ",YES
" $2,499.00 "," $462,294.00 ",YES
" $2,501.00 "," $183,446.00 ",NO
" $2,503.00 "," $221,396.00 ",NO
" $2,515.00 "," $352,910.00 ",YES
" $2,517.00 "," $150,323.00 ",NO
" $2,525.00 "," $143,791.00 ",NO
" $2,533.00 "," $66,426.00 ",NO
" $2,533.00 "," $39,162.00 ",NO
" $2,533.00 "," $311,884.00 ",YES
" $2,534.00 "," $493,005.00 ",YES
" $2,536.00 "," $389,759.00 ",YES
" $2,539.00 "," $175,241.00 ",NO
" $2,540.00 "," $108,626.00 ",NO
" $2,540.00 "," $408,905.00 ",YES
" $2,541.00 "," $178,336.00 ",NO
" $2,543.00 "," $495,104.00 ",YES
" $2,545.00 "," $299,926.00 ",YES
" $2,546.00 "," $307,758.00 ",YES
" $2,551.00 "," $156,222.00 ",NO
" $2,552.00 "," $374,716.00 ",YES
" $2,555.00 "," $156,663.00 ",NO
" $2,567.00 "," $52,516.00 ",NO
" $2,567.00 "," $287,571.00 ",YES
" $2,567.00 "," $190,181.00 ",NO
" $2,570.00 "," $304,659.00 ",YES
" $2,572.00 "," $120,231.00 ",NO
" $2,574.00 "," $66,982.00 ",NO
" $2,580.00 "," $228,852.00 ",NO
" $2,580.00 "," $69,359.00 ",NO
" $2,595.00 "," $165,181.00 ",NO
" $2,598.00 "," $377,740.00 ",YES
" $2,598.00 "," $241,593.00 ",NO
" $2,600.00 "," $193,546.00 ",NO
" $2,605.00 "," $424,670.00 ",YES
" $2,608.00 "," $210,625.00 ",NO
" $2,610.00 "," $44,998.00 ",NO
" $2,614.00 "," $216,239.00 ",NO
" $2,618.00 "," $312,876.00 ",YES
" $2,624.00 "," $311,180.00 ",YES
" $2,626.00 "," $107,788.00 ",NO
" $2,627.00 "," $44,668.00 ",NO
" $2,630.00 "," $463,254.00 ",YES
" $2,638.00 "," $78,503.00 ",NO
" $2,640.00 "," $428,857.00 ",YES
" $2,644.00 "," $93,866.00 ",NO
" $2,646.00 "," $26,776.00 ",NO
" $2,649.00 "," $428,764.00 ",YES
" $2,653.00 "," $15,314.00 ",NO
" $2,653.00 "," $480,612.00 ",YES
" $2,656.00 "," $477,163.00 ",YES
" $2,667.00 "," $337,598.00 ",YES
" $2,669.00 "," $450,745.00 ",YES
" $2,672.00 "," $216,092.00 ",NO
" $2,673.00 "," $225,554.00 ",NO
" $2,673.00 "," $439,241.00 ",YES
" $2,673.00 "," $343,530.00 ",YES
" $2,675.00 "," $438,288.00 ",YES
" $2,677.00 "," $473,193.00 ",YES
" $2,678.00 "," $335,547.00 ",YES
" $2,680.00 "," $149,335.00 ",NO
" $2,680.00 "," $351,050.00 ",YES
" $2,681.00 "," $392,383.00 ",YES
" $2,684.00 "," $445,020.00 ",YES
" $2,684.00 "," $478,059.00 ",YES
" $2,687.00 "," $219,650.00 ",NO
" $2,688.00 "," $55,912.00 ",NO
" $2,688.00 "," $119,276.00 ",NO
" $2,689.00 "," $443,136.00 ",YES
" $2,690.00 "," $481,953.00 ",YES
" $2,691.00 "," $174,709.00 ",NO
" $2,693.00 "," $416,076.00 ",YES
" $2,702.00 "," $160,192.00 ",NO
" $2,702.00 "," $63,576.00 ",NO
" $2,703.00 "," $232,503.00 ",NO
" $2,705.00 "," $113,400.00 ",NO
" $2,707.00 "," $55,791.00 ",NO
" $2,709.00 "," $308,373.00 ",YES
" $2,710.00 "," $383,306.00 ",YES
" $2,714.00 "," $440,713.00 ",YES
" $2,715.00 "," $259,599.00 ",YES
" $2,716.00 "," $210,070.00 ",NO
" $2,716.00 "," $137,704.00 ",NO
" $2,725.00 "," $272,787.00 ",YES
" $2,731.00 "," $62,568.00 ",NO
" $2,733.00 "," $316,912.00 ",YES
" $2,734.00 "," $268,649.00 ",YES
" $2,738.00 "," $194,712.00 ",NO
" $2,740.00 "," $289,578.00 ",YES
" $2,742.00 "," $456,810.00 ",YES
" $2,748.00 "," $459,942.00 ",YES
" $2,756.00 "," $23,892.00 ",NO
" $2,763.00 "," $235,615.00 ",NO
" $2,767.00 "," $315,908.00 ",YES
" $2,769.00 "," $493,055.00 ",YES
" $2,771.00 "," $82,345.00 ",NO
" $2,774.00 "," $125,719.00 ",NO
" $2,775.00 "," $251,327.00 ",NO
" $2,775.00 "," $55,999.00 ",NO
" $2,780.00 "," $138,564.00 ",NO
" $2,781.00 "," $187,699.00 ",NO
" $2,785.00 "," $179,053.00 ",NO
" $2,798.00 "," $224,921.00 ",NO
" $2,798.00 "," $450,748.00 ",YES
" $2,799.00 "," $116,792.00 ",NO
" $2,800.00 "," $37,498.00 ",NO
" $2,803.00 "," $350,794.00 ",YES
" $2,805.00 "," $266,954.00 ",YES
" $2,807.00 "," $477,404.00 ",YES
" $2,808.00 "," $417,033.00 ",YES
" $2,811.00 "," $194,638.00 ",NO
" $2,818.00 "," $316,903.00 ",YES
" $2,818.00 "," $324,958.00 ",YES
" $2,821.00 "," $256,398.00 ",YES
" $2,821.00 "," $123,308.00 ",NO
" $2,822.00 "," $332,549.00 ",YES
" $2,823.00 "," $486,199.00 ",YES
" $2,826.00 "," $310,124.00 ",YES
" $2,826.00 "," $467,999.00 ",YES
" $2,827.00 "," $121,638.00 ",NO
" $2,827.00 "," $323,352.00 ",YES
" $2,828.00 "," $315,247.00 ",YES
" $2,830.00 "," $293,978.00 ",YES
" $2,834.00 "," $265,948.00 ",YES
" $2,837.00 "," $119,970.00 ",NO
" $2,837.00 "," $179,517.00 ",NO
" $2,839.00 "," $262,873.00 ",YES
" $2,841.00 "," $162,093.00 ",NO
" $2,844.00 "," $266,260.00 ",YES
" $2,846.00 "," $285,868.00 ",YES
" $2,846.00 "," $132,766.00 ",NO
" $2,848.00 "," $429,418.00 ",YES
" $2,853.00 "," $372,878.00 ",YES
" $2,856.00 "," $437,548.00 ",YES
" $2,856.00 "," $482,156.00 ",YES
" $2,856.00 "," $407,149.00 ",YES
" $2,857.00 "," $338,122.00 ",YES
" $2,859.00 "," $42,183.00 ",NO
" $2,861.00 "," $487,055.00 ",YES
" $2,863.00 "," $108,868.00 ",NO
" $2,874.00 "," $440,632.00 ",YES
" $2,874.00 "," $154,086.00 ",NO
" $2,877.00 "," $189,372.00 ",NO
" $2,881.00 "," $117,426.00 ",NO
" $2,881.00 "," $392,387.00 ",YES
" $2,891.00 "," $209,254.00 ",NO
" $2,894.00 "," $319,498.00 ",YES
" $2,900.00 "," $183,863.00 ",NO
" $2,900.00 "," $50,195.00 ",NO
" $2,903.00 "," $364,761.00 ",YES
" $2,903.00 "," $459,200.00 ",YES
" $2,903.00 "," $451,259.00 ",YES
" $2,903.00 "," $362,273.00 ",YES
" $2,904.00 "," $438,630.00 ",YES
" $2,904.00 "," $474,037.00 ",YES
" $2,910.00 "," $140,988.00 ",NO
" $2,916.00 "," $416,146.00 ",YES
" $2,918.00 "," $446,261.00 ",YES
" $2,922.00 "," $52,524.00 ",NO
" $2,922.00 "," $152,431.00 ",NO
" $2,923.00 "," $279,511.00 ",YES
" $2,924.00 "," $459,194.00 ",YES
" $2,932.00 "," $192,263.00 ",NO
" $2,936.00 "," $368,080.00 ",YES
" $2,938.00 "," $308,358.00 ",YES
" $2,938.00 "," $465,582.00 ",YES
" $2,938.00 "," $406,757.00 ",YES
" $2,940.00 "," $43,003.00 ",NO
" $2,943.00 "," $205,263.00 ",NO
" $2,945.00 "," $367,277.00 ",YES
" $2,948.00 "," $122,200.00 ",NO
" $2,952.00 "," $14,193.00 ",NO
" $2,953.00 "," $304,601.00 ",YES
" $2,955.00 "," $145,629.00 ",NO
" $2,955.00 "," $396,431.00 ",YES
" $2,957.00 "," $53,171.00 ",NO
" $2,958.00 "," $110,989.00 ",NO
" $2,960.00 "," $488,554.00 ",YES
" $2,960.00 "," $412,168.00 ",YES
" $2,965.00 "," $453,335.00 ",YES
" $2,966.00 "," $203,829.00 ",NO
" $2,966.00 "," $201,434.00 ",NO
" $2,969.00 "," $442,580.00 ",YES
" $2,971.00 "," $198,720.00 ",NO
" $2,972.00 "," $287,319.00 ",YES
" $2,972.00 "," $346,196.00 ",YES
" $2,975.00 "," $469,835.00 ",YES
" $2,979.00 "," $118,098.00 ",NO
" $2,981.00 "," $94,784.00 ",NO
" $2,987.00 "," $233,794.00 ",NO
" $2,988.00 "," $72,702.00 ",NO
" $2,990.00 "," $419,309.00 ",YES
" $2,992.00 "," $359,199.00 ",YES
" $2,994.00 "," $410,731.00 ",YES
" $2,998.00 "," $263,048.00 ",YES
" $2,999.00 "," $112,357.00 ",NO
" $2,999.00 "," $327,884.00 ",YES
" $3,004.00 "," $224,594.00 ",NO
" $3,013.00 "," $64,732.00 ",NO
" $3,017.00 "," $317,871.00 ",YES
" $3,024.00 "," $487,822.00 ",YES
" $3,028.00 "," $132,612.00 ",NO
" $3,031.00 "," $66,914.00 ",NO
" $3,033.00 "," $202,451.00 ",NO
" $3,034.00 "," $164,749.00 ",NO
" $3,036.00 "," $445,490.00 ",YES
" $3,037.00 "," $323,623.00 ",YES
" $3,037.00 "," $441,811.00 ",YES
" $3,040.00 "," $335,319.00 ",YES
" $3,042.00 "," $402,161.00 ",YES
" $3,043.00 "," $88,082.00 ",NO
" $3,044.00 "," $404,593.00 ",YES
" $3,046.00 "," $350,486.00 ",YES
" $3,047.00 "," $477,767.00 ",YES
" $3,047.00 "," $405,492.00 ",YES
" $3,048.00 "," $309,714.00 ",YES
" $3,052.00 "," $17,767.00 ",NO
" $3,054.00 "," $110,903.00 ",NO
" $3,057.00 "," $17,460.00 ",NO
" $3,058.00 "," $299,442.00 ",YES
" $3,060.00 "," $256,283.00 ",YES
" $3,065.00 "," $458,139.00 ",YES
" $3,066.00 "," $93,645.00 ",NO
" $3,066.00 "," $356,463.00 ",YES
" $3,067.00 "," $304,785.00 ",YES
" $3,067.00 "," $293,758.00 ",YES
" $3,071.00 "," $385,592.00 ",YES
" $3,072.00 "," $29,554.00 ",NO
" $3,077.00 "," $365,355.00 ",YES
" $3,081.00 "," $89,246.00 ",NO
" $3,085.00 "," $430,832.00 ",YES
" $3,088.00 "," $127,705.00 ",NO
" $3,088.00 "," $94,239.00 ",NO
" $3,095.00 "," $79,213.00 ",NO
" $3,095.00 "," $434,872.00 ",YES
" $3,105.00 "," $96,591.00 ",NO
" $3,105.00 "," $223,175.00 ",NO
" $3,107.00 "," $327,307.00 ",YES
" $3,110.00 "," $385,012.00 ",YES
" $3,111.00 "," $43,123.00 ",NO
" $3,114.00 "," $440,694.00 ",YES
" $3,115.00 "," $92,759.00 ",NO
" $3,117.00 "," $16,262.00 ",NO
" $3,120.00 "," $62,792.00 ",NO
" $3,123.00 "," $418,241.00 ",YES
" $3,124.00 "," $118,961.00 ",NO
" $3,126.00 "," $89,679.00 ",NO
" $3,127.00 "," $198,799.00 ",NO
" $3,128.00 "," $335,102.00 ",YES
" $3,129.00 "," $306,037.00 ",YES
" $3,134.00 "," $211,349.00 ",NO
" $3,135.00 "," $419,035.00 ",YES
" $3,135.00 "," $126,479.00 ",NO
" $3,135.00 "," $352,767.00 ",YES
" $3,144.00 "," $154,925.00 ",NO
" $3,146.00 "," $338,208.00 ",YES
